C:\Users\harsh\fastapi-project\frontend\src\components\dashboard\expenses-vs-revenue-quick-view.tsx: line 24, col 26, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\harsh\fastapi-project\frontend\src\components\dashboard\financial-dashboard.tsx: line 24, col 51, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\harsh\fastapi-project\frontend\src\components\dashboard\financial-dashboard.tsx: line 29, col 26, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\harsh\fastapi-project\frontend\src\components\dashboard\financial-dashboard.tsx: line 98, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\harsh\fastapi-project\frontend\src\components\dashboard\financial-dashboard.tsx: line 99, col 69, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\harsh\fastapi-project\frontend\src\components\dashboard\financial-dashboard.tsx: line 199, col 54, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\harsh\fastapi-project\frontend\src\components\dashboard\financial-dashboard.tsx: line 201, col 49, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\harsh\fastapi-project\frontend\src\components\dashboard\financial-dashboard.tsx: line 205, col 49, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\harsh\fastapi-project\frontend\src\components\dashboard\financial-dashboard.tsx: line 213, col 48, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\harsh\fastapi-project\frontend\src\components\layout\sidebar.tsx: line 6, col 3, Warning - 'UserCog' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\layout\sidebar.tsx: line 6, col 35, Warning - 'X' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\layout\sidebar.tsx: line 7, col 32, Warning - 'TrendingUp' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\layout\sidebar.tsx: line 7, col 44, Warning - 'Bell' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\layout\sidebar.tsx: line 8, col 3, Warning - 'Phone' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\layout\sidebar.tsx: line 8, col 10, Warning - 'ClipboardList' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\layout\sidebar.tsx: line 8, col 25, Warning - 'Calendar' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\layout\sidebar.tsx: line 8, col 63, Warning - 'Send' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\layout\sidebar.tsx: line 9, col 11, Warning - 'Star' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\layout\sidebar.tsx: line 9, col 17, Warning - 'ChevronRight' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\layout\sidebar.tsx: line 9, col 31, Warning - 'LogOut' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\layout\sidebar.tsx: line 100, col 17, Warning - 'logout' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\odontogram\Odontogram.tsx: line 12, col 3, Warning - 'getSurfaceClips' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\odontogram\Odontogram.tsx: line 241, col 9, Warning - 'secondaryTypes' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\odontogram\Odontogram.tsx: line 242, col 9, Warning - 'visual' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\odontogram\Odontogram.tsx: line 499, col 45, Warning - 'isPrimary' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\odontogram\Odontogram.tsx: line 592, col 9, Warning - 'isUpper' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\odontogram\Odontogram.tsx: line 766, col 38, Warning - 'isPrimary' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\odontogram\Odontogram.tsx: line 957, col 9, Warning - 'scale' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\odontogram\Odontogram.tsx: line 975, col 10, Warning - 'summaryEdit' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\odontogram\SurfaceOverlay.tsx: line 2, col 32, Warning - 'SurfaceClips' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\odontogram\SurfaceOverlay.tsx: line 18, col 7, Warning - 'SURFACE_COLORS' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\odontogram\SurfaceOverlay.tsx: line 28, col 10, Warning - 'surfaceHasFinding' is defined but never used. (@typescript-eslint/no-unused-vars)
